Content.Data;Content.Grupo;Content.Subgrupo;Content.Natureza;Content.FORNECEDOR;Content.Entrada (R$);Content.Saída (R$);Content.Histórico;Name;;;;;
27/01/2019;NORTHSIDE;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-300,00;Honorário jan/2020 lifecon;FluxoAgata;;;;;
27/01/2019;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-400,00;Honorário jan/2020 Agata;FluxoAgata;;;;;
05/04/2019;ÁGATA;FINANCEIRO;APORTE DE CAPITAL SCP;ABACO INCORPORACOES LTDA;100000,00;0,00;Aporte;FluxoAgata;;;;;
02/05/2019;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-465,00;TARIFA BANCARIA;FluxoAgata;;;;;
10/05/2019;ÁGATA;ADMINISTRAÇÃO;OUTRAS DESPESAS;AGROGEO TOPOGRAFIA;0,00;-1350,00;pago por Raquel em 15/10/18 e reembolsado em 10/05/19 - Subdivisão lotes 1ª parcela;FluxoAgata;;;;;
10/05/2019;ÁGATA;ADMINISTRAÇÃO;OUTRAS DESPESAS;AGROGEO TOPOGRAFIA;0,00;-1350,00;pago por Raquel em 13/12/18 e reembolsado em 10/05/19 - Subdivisão lotes 2ª parcela;FluxoAgata;;;;;
10/05/2019;NORTHSIDE;CUSTO DO ATIVO;PROJETOS URBANÍSTICOS;FOCCO ARQUITETURA;0,00;-6600,00;pago por Rafael em 27/03 e reembolsado em 10/05/19 - Aprovação de projetos - inicio das atividades ;FluxoAgata;;;;;
10/05/2019;ÁGATA;ADMINISTRAÇÃO;TAXAS E CONTRIBUIÇÕES;JUNTA COMERCIAL DO PARANÁ;0,00;-85,40;pago por Raquel em 31/01/19 e reembolsado em 10/05/2019;FluxoAgata;;;;;
10/05/2019;ÁGATA;ADMINISTRAÇÃO;OUTRAS DESPESAS;MACTUS;0,00;-32,52;pago por Raquel 18/10 e reembolsado em 10/05/19 referente certidão Colombo;FluxoAgata;;;;;
10/05/2019;ÁGATA;ADMINISTRAÇÃO;OUTRAS DESPESAS;MACTUS;0,00;-32,52;pago por Raquel 30/10 e reembolsado em 10/05/19 referente certidão Colombo;FluxoAgata;;;;;
10/05/2019;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-250,00;pago por Raquel em 13/02/19 e reembolsado em 10/05/2019 ;FluxoAgata;;;;;
10/05/2019;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-250,00;pago por Raquel em 06/12/2018 e reembolsado em 10/05/2019;FluxoAgata;;;;;
10/05/2019;ÁGATA;ADMINISTRAÇÃO;TAXAS E CONTRIBUIÇÕES;RECEITA FEDERAL;0,00;-21,00;pago por Raquel em 31/01/19 e reembolsado em 10/05/2019;FluxoAgata;;;;;
10/05/2019;BARILOCHE;CUSTO DO ATIVO;CUSTO DA ÁREA;ROBERTRO CARLOS DA SILVA;0,00;-5625,00;pago por Raquel e reembolsado em 10/05/2019 - execução de arruamento;FluxoAgata;;;;;
10/05/2019;NORTHSIDE;CUSTO DO ATIVO;CUSTO DA ÁREA (ROÇADA, CERCAMENTO E OUTROS);ROGÉRIO MULLER;0,00;-2443,70;pago por Rafael em 28/03 e reembolsado em 10/05/19 serviço de roçada;FluxoAgata;;;;;
10/05/2019;NORTHSIDE;CUSTO DO ATIVO;PROJETOS AMBIENTAIS;ZNO - ZILDO NESTOR DE OLIVEIRA - ME;0,00;-3400,00;pago por Rafael em 15/03 Aprovação ambiental - inicio das atividades;FluxoAgata;;;;;
13/05/2019;NORTHSIDE;ADMINISTRAÇÃO;TAXAS E CONTRIBUIÇÕES;JUNTA COMERCIAL DO PARANÁ;0,00;-85,40;taxa JUCEPAR;FluxoAgata;;;;;
13/05/2019;NORTHSIDE;ADMINISTRAÇÃO;TAXAS E CONTRIBUIÇÕES;JUNTA COMERCIAL DO PARANÁ;0,00;-21,00;taxa DARF JUCEPAR ;FluxoAgata;;;;;
17/05/2019;ÁGATA;ADMINISTRAÇÃO;ASSESSORIA CONTÁBIL;RAYACON;0,00;-375,00;Rayacon ;FluxoAgata;;;;;
21/05/2019;NORTHSIDE;CUSTO DO ATIVO;PROJETOS URBANÍSTICOS;FOCCO ARQUITETURA;0,00;-3600,00;Aprovação de projetos - etapa referente a Emissão de Diretrizes de uso e ocupação de solo;FluxoAgata;;;;;
21/05/2019;NORTHSIDE;CUSTO DO ATIVO;PROJETOS URBANÍSTICOS;FOCCO ARQUITETURA;0,00;-829,22;TAXA PARA APROVAÇÃO DE EVU;FluxoAgata;;;;;
21/05/2019;NORTHSIDE;CUSTO DO ATIVO;PROJETOS URBANÍSTICOS;FOCCO ARQUITETURA;0,00;-129,76;Plotagens e ART arquiteto;FluxoAgata;;;;;
03/06/2019;ÁGATA;ADMINISTRAÇÃO;TAXAS BANCÁRIAS;BRADESCO;0,00;-465,00;TARIFA BANCARIA ;FluxoAgata;;;;;
